ExceptionID,ExceptionDate,Process,ExceptionType,Severity,ReferenceID,Description,Status
EXC000249,2025-06-28,Procurement,Overdue Purchase Order,High,PO4500001388,Purchase order delayed by 6 days,Open
EXC000250,2026-04-15,Procurement,Overdue Purchase Order,High,PO4500001394,Purchase order delayed by 6 days,Open
EXC000251,2026-05-06,Procurement,Overdue Purchase Order,High,PO4500001396,Purchase order delayed by 3 days,Open
EXC000252,2026-02-01,Procurement,Overdue Purchase Order,Critical,PO4500001407,Purchase order delayed by 16 days,Open
EXC000253,2025-03-30,Procurement,Overdue Purchase Order,High,PO4500001411,Purchase order delayed by 2 days,Open
EXC000254,2025-07-07,Procurement,Missing Supplier Confirmation,Medium,PO4500001412,Supplier confirmation missing,Open
EXC000255,2025-08-30,Procurement,Overdue Purchase Order,Critical,PO4500001425,Purchase order delayed by 16 days,Open
EXC000256,2025-03-16,Procurement,Overdue Purchase Order,Critical,PO4500001427,Purchase order delayed by 12 days,Open
EXC000257,2025-02-26,Procurement,Missing Supplier Confirmation,Medium,PO4500001427,Supplier confirmation missing,Open
EXC000258,2025-12-20,Procurement,Overdue Purchase Order,Critical,PO4500001435,Purchase order delayed by 12 days,Open
EXC000259,2026-04-30,Procurement,Overdue Purchase Order,Critical,PO4500001438,Purchase order delayed by 17 days,Open
EXC000260,2026-03-28,Procurement,Overdue Purchase Order,Critical,PO4500001442,Purchase order delayed by 13 days,Open
EXC000261,2026-03-19,Procurement,Missing Supplier Confirmation,Medium,PO4500001442,Supplier confirmation missing,Open
EXC000262,2025-12-29,Procurement,Overdue Purchase Order,Critical,PO4500001446,Purchase order delayed by 11 days,Open
EXC000263,2026-03-24,Procurement,Overdue Purchase Order,High,PO4500001447,Purchase order delayed by 8 days,Open
EXC000264,2026-06-16,Procurement,Overdue Purchase Order,Critical,PO4500001450,Purchase order delayed by 17 days,Open
EXC000265,2025-01-27,Procurement,Missing Supplier Confirmation,Medium,PO4500001459,Supplier confirmation missing,Open
EXC000266,2026-06-18,Procurement,Overdue Purchase Order,Critical,PO4500001470,Purchase order delayed by 11 days,Open
EXC000267,2026-03-17,Procurement,Overdue Purchase Order,Critical,PO4500001478,Purchase order delayed by 15 days,Open
EXC000268,2025-09-01,Procurement,Overdue Purchase Order,High,PO4500001481,Purchase order delayed by 9 days,Open
EXC000269,2025-11-07,Procurement,Overdue Purchase Order,High,PO4500001494,Purchase order delayed by 1 days,Open
EXC000270,2026-01-05,Procurement,Overdue Purchase Order,High,PO4500001495,Purchase order delayed by 8 days,Open
EXC000271,2025-03-29,Procurement,Overdue Purchase Order,High,PO4500001508,Purchase order delayed by 5 days,Open
EXC000272,2025-03-02,Procurement,Missing Supplier Confirmation,Medium,PO4500001521,Supplier confirmation missing,Open
EXC000273,2025-08-07,Procurement,Overdue Purchase Order,High,PO4500001524,Purchase order delayed by 6 days,Open
EXC000274,2025-07-01,Procurement,Missing Supplier Confirmation,Medium,PO4500001524,Supplier confirmation missing,Open
EXC000275,2026-05-31,Procurement,Missing Supplier Confirmation,Medium,PO4500001546,Supplier confirmation missing,Open
EXC000276,2025-12-16,Procurement,Missing Supplier Confirmation,Medium,PO4500001547,Supplier confirmation missing,Open
EXC000277,2025-06-24,Procurement,Overdue Purchase Order,Critical,PO4500001548,Purchase order delayed by 17 days,Open
EXC000278,2025-09-21,Procurement,Missing Supplier Confirmation,Medium,PO4500001556,Supplier confirmation missing,Open
EXC000279,2025-09-01,Procurement,Overdue Purchase Order,High,PO4500001557,Purchase order delayed by 5 days,Open
EXC000280,2026-02-11,Procurement,Overdue Purchase Order,Critical,PO4500001562,Purchase order delayed by 14 days,Open
EXC000281,2025-06-19,Procurement,Overdue Purchase Order,High,PO4500001568,Purchase order delayed by 5 days,Open
EXC000282,2025-05-26,Procurement,Overdue Purchase Order,High,PO4500001573,Purchase order delayed by 7 days,Open
EXC000283,2025-06-15,Procurement,Overdue Purchase Order,High,PO4500001579,Purchase order delayed by 9 days,Open
EXC000284,2025-08-11,Procurement,Missing Supplier Confirmation,Medium,PO4500001596,Supplier confirmation missing,Open
EXC000285,2026-04-02,Procurement,Overdue Purchase Order,High,PO4500001598,Purchase order delayed by 6 days,Open
EXC000286,2026-06-30,Inventory,Below Reorder Point,High,MAT100001-WH03,Below Reorder Point,Open
EXC000287,2026-06-30,Inventory,Below Reorder Point,High,MAT100002-WH01,Below Reorder Point,Open
EXC000288,2026-06-30,Inventory,Below Reorder Point,High,MAT100005-WH01,Below Reorder Point,Open
EXC000289,2026-06-30,Inventory,Below Reorder Point,High,MAT100006-WH02,Below Reorder Point,Open
EXC000290,2026-06-30,Inventory,Below Reorder Point,High,MAT100008-WH02,Below Reorder Point,Open
EXC000291,2026-06-30,Inventory,Below Reorder Point,High,MAT100009-WH02,Below Reorder Point,Open
EXC000292,2026-06-30,Inventory,Below Reorder Point,High,MAT100009-WH03,Below Reorder Point,Open
EXC000293,2026-06-30,Inventory,Below Reorder Point,High,MAT100010-WH01,Below Reorder Point,Open
EXC000294,2026-06-30,Inventory,Below Reorder Point,High,MAT100010-WH02,Below Reorder Point,Open
EXC000295,2026-06-30,Inventory,Below Reorder Point,High,MAT100011-WH02,Below Reorder Point,Open
EXC000296,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100011-WH03,Below Safety Stock,Open
EXC000297,2026-06-30,Inventory,Below Reorder Point,High,MAT100013-WH01,Below Reorder Point,Open
EXC000298,2026-06-30,Inventory,Below Reorder Point,High,MAT100013-WH03,Below Reorder Point,Open
EXC000299,2026-06-30,Inventory,Below Reorder Point,High,MAT100014-WH01,Below Reorder Point,Open
EXC000300,2026-06-30,Inventory,Below Reorder Point,High,MAT100016-WH01,Below Reorder Point,Open
EXC000301,2026-06-30,Inventory,Below Reorder Point,High,MAT100016-WH03,Below Reorder Point,Open
EXC000302,2026-06-30,Inventory,Below Reorder Point,High,MAT100017-WH01,Below Reorder Point,Open
EXC000303,2026-06-30,Inventory,Below Reorder Point,High,MAT100017-WH02,Below Reorder Point,Open
EXC000304,2026-06-30,Inventory,Below Reorder Point,High,MAT100018-WH03,Below Reorder Point,Open
EXC000305,2026-06-30,Inventory,Below Reorder Point,High,MAT100019-WH02,Below Reorder Point,Open
EXC000306,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100019-WH03,Below Safety Stock,Open
EXC000307,2026-06-30,Inventory,Below Reorder Point,High,MAT100021-WH03,Below Reorder Point,Open
EXC000308,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100023-WH01,Below Safety Stock,Open
EXC000309,2026-06-30,Inventory,Below Reorder Point,High,MAT100023-WH03,Below Reorder Point,Open
EXC000310,2026-06-30,Inventory,Below Reorder Point,High,MAT100024-WH03,Below Reorder Point,Open
EXC000311,2026-06-30,Inventory,Below Reorder Point,High,MAT100026-WH03,Below Reorder Point,Open
EXC000312,2026-06-30,Inventory,Below Reorder Point,High,MAT100027-WH03,Below Reorder Point,Open
EXC000313,2026-06-30,Inventory,Below Reorder Point,High,MAT100028-WH03,Below Reorder Point,Open
EXC000314,2026-06-30,Inventory,Below Reorder Point,High,MAT100029-WH01,Below Reorder Point,Open
EXC000315,2026-06-30,Inventory,Below Reorder Point,High,MAT100029-WH03,Below Reorder Point,Open
EXC000316,2026-06-30,Inventory,Below Reorder Point,High,MAT100030-WH01,Below Reorder Point,Open
EXC000317,2026-06-30,Inventory,Below Reorder Point,High,MAT100030-WH02,Below Reorder Point,Open
EXC000318,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100031-WH01,Below Safety Stock,Open
EXC000319,2026-06-30,Inventory,Below Reorder Point,High,MAT100031-WH02,Below Reorder Point,Open
EXC000320,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100032-WH01,Below Safety Stock,Open
EXC000321,2026-06-30,Inventory,Below Reorder Point,High,MAT100033-WH01,Below Reorder Point,Open
EXC000322,2026-06-30,Inventory,Below Reorder Point,High,MAT100034-WH01,Below Reorder Point,Open
EXC000323,2026-06-30,Inventory,Below Reorder Point,High,MAT100034-WH02,Below Reorder Point,Open
EXC000324,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100036-WH02,Below Safety Stock,Open
EXC000325,2026-06-30,Inventory,Below Reorder Point,High,MAT100036-WH03,Below Reorder Point,Open
EXC000326,2026-06-30,Inventory,Below Reorder Point,High,MAT100037-WH01,Below Reorder Point,Open
EXC000327,2026-06-30,Inventory,Below Reorder Point,High,MAT100040-WH02,Below Reorder Point,Open
EXC000328,2026-06-30,Inventory,Below Reorder Point,High,MAT100041-WH01,Below Reorder Point,Open
EXC000329,2026-06-30,Inventory,Below Reorder Point,High,MAT100041-WH02,Below Reorder Point,Open
EXC000330,2026-06-30,Inventory,Below Reorder Point,High,MAT100042-WH01,Below Reorder Point,Open
EXC000331,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100042-WH02,Below Safety Stock,Open
EXC000332,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100044-WH02,Below Safety Stock,Open
EXC000333,2026-06-30,Inventory,Below Reorder Point,High,MAT100046-WH02,Below Reorder Point,Open
EXC000334,2026-06-30,Inventory,Below Reorder Point,High,MAT100046-WH03,Below Reorder Point,Open
EXC000335,2026-06-30,Inventory,Below Reorder Point,High,MAT100048-WH02,Below Reorder Point,Open
EXC000336,2026-06-30,Inventory,Below Reorder Point,High,MAT100050-WH03,Below Reorder Point,Open
EXC000337,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100051-WH01,Below Safety Stock,Open
EXC000338,2026-06-30,Inventory,Below Reorder Point,High,MAT100051-WH02,Below Reorder Point,Open
EXC000339,2026-06-30,Inventory,Below Reorder Point,High,MAT100052-WH02,Below Reorder Point,Open
EXC000340,2026-06-30,Inventory,Below Reorder Point,High,MAT100053-WH01,Below Reorder Point,Open
EXC000341,2026-06-30,Inventory,Below Reorder Point,High,MAT100053-WH02,Below Reorder Point,Open
EXC000342,2026-06-30,Inventory,Below Reorder Point,High,MAT100054-WH01,Below Reorder Point,Open
EXC000343,2026-06-30,Inventory,Below Reorder Point,High,MAT100054-WH03,Below Reorder Point,Open
EXC000344,2026-06-30,Inventory,Below Reorder Point,High,MAT100055-WH03,Below Reorder Point,Open
EXC000345,2026-06-30,Inventory,Below Reorder Point,High,MAT100056-WH02,Below Reorder Point,Open
EXC000346,2026-06-30,Inventory,Below Reorder Point,High,MAT100058-WH02,Below Reorder Point,Open
EXC000347,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100058-WH03,Below Safety Stock,Open
EXC000348,2026-06-30,Inventory,Below Reorder Point,High,MAT100059-WH01,Below Reorder Point,Open
EXC000349,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100059-WH02,Below Safety Stock,Open
EXC000350,2026-06-30,Inventory,Below Reorder Point,High,MAT100060-WH03,Below Reorder Point,Open
EXC000351,2026-06-30,Inventory,Below Reorder Point,High,MAT100061-WH02,Below Reorder Point,Open
EXC000352,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100062-WH02,Below Safety Stock,Open
EXC000353,2026-06-30,Inventory,Below Reorder Point,High,MAT100062-WH03,Below Reorder Point,Open
EXC000354,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100063-WH01,Below Safety Stock,Open
EXC000355,2026-06-30,Inventory,Below Reorder Point,High,MAT100065-WH01,Below Reorder Point,Open
EXC000356,2026-06-30,Inventory,Below Reorder Point,High,MAT100069-WH02,Below Reorder Point,Open
EXC000357,2026-06-30,Inventory,Below Reorder Point,High,MAT100069-WH03,Below Reorder Point,Open
EXC000358,2026-06-30,Inventory,Below Reorder Point,High,MAT100071-WH02,Below Reorder Point,Open
EXC000359,2026-06-30,Inventory,Below Reorder Point,High,MAT100072-WH02,Below Reorder Point,Open
EXC000360,2026-06-30,Inventory,Below Reorder Point,High,MAT100073-WH01,Below Reorder Point,Open
EXC000361,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100073-WH02,Below Safety Stock,Open
EXC000362,2026-06-30,Inventory,Below Reorder Point,High,MAT100075-WH03,Below Reorder Point,Open
EXC000363,2026-06-30,Inventory,Below Reorder Point,High,MAT100076-WH01,Below Reorder Point,Open
EXC000364,2026-06-30,Inventory,Below Reorder Point,High,MAT100076-WH02,Below Reorder Point,Open
EXC000365,2026-06-30,Inventory,Below Reorder Point,High,MAT100076-WH03,Below Reorder Point,Open
EXC000366,2026-06-30,Inventory,Below Reorder Point,High,MAT100077-WH03,Below Reorder Point,Open
EXC000367,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100078-WH01,Below Safety Stock,Open
EXC000368,2026-06-30,Inventory,Below Reorder Point,High,MAT100079-WH01,Below Reorder Point,Open
EXC000369,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100079-WH02,Below Safety Stock,Open
EXC000370,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100080-WH01,Below Safety Stock,Open
EXC000371,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100082-WH01,Below Safety Stock,Open
EXC000372,2026-06-30,Inventory,Below Reorder Point,High,MAT100083-WH02,Below Reorder Point,Open
EXC000373,2026-06-30,Inventory,Below Reorder Point,High,MAT100084-WH01,Below Reorder Point,Open
EXC000374,2026-06-30,Inventory,Below Reorder Point,High,MAT100085-WH01,Below Reorder Point,Open
EXC000375,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100085-WH02,Below Safety Stock,Open
EXC000376,2026-06-30,Inventory,Below Reorder Point,High,MAT100085-WH03,Below Reorder Point,Open
EXC000377,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100086-WH03,Below Safety Stock,Open
EXC000378,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100087-WH03,Below Safety Stock,Open
EXC000379,2026-06-30,Inventory,Below Reorder Point,High,MAT100088-WH01,Below Reorder Point,Open
EXC000380,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100089-WH01,Below Safety Stock,Open
EXC000381,2026-06-30,Inventory,Below Reorder Point,High,MAT100089-WH02,Below Reorder Point,Open
EXC000382,2026-06-30,Inventory,Below Reorder Point,High,MAT100090-WH01,Below Reorder Point,Open
EXC000383,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100091-WH02,Below Safety Stock,Open
EXC000384,2026-06-30,Inventory,Below Reorder Point,High,MAT100093-WH02,Below Reorder Point,Open
EXC000385,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100093-WH03,Below Safety Stock,Open
EXC000386,2026-06-30,Inventory,Below Reorder Point,High,MAT100094-WH01,Below Reorder Point,Open
EXC000387,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100094-WH02,Below Safety Stock,Open
EXC000388,2026-06-30,Inventory,Below Reorder Point,High,MAT100094-WH03,Below Reorder Point,Open
EXC000389,2026-06-30,Inventory,Below Reorder Point,High,MAT100095-WH01,Below Reorder Point,Open
EXC000390,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100095-WH03,Below Safety Stock,Open
EXC000391,2026-06-30,Inventory,Below Reorder Point,High,MAT100096-WH02,Below Reorder Point,Open
EXC000392,2026-06-30,Inventory,Below Reorder Point,High,MAT100096-WH03,Below Reorder Point,Open
EXC000393,2026-06-30,Inventory,Below Reorder Point,High,MAT100099-WH01,Below Reorder Point,Open
EXC000394,2026-06-30,Inventory,Below Reorder Point,High,MAT100099-WH02,Below Reorder Point,Open
EXC000395,2026-06-30,Inventory,Below Reorder Point,High,MAT100101-WH03,Below Reorder Point,Open
EXC000396,2026-06-30,Inventory,Below Reorder Point,High,MAT100102-WH02,Below Reorder Point,Open
EXC000397,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100103-WH01,Below Safety Stock,Open
EXC000398,2026-06-30,Inventory,Below Reorder Point,High,MAT100103-WH03,Below Reorder Point,Open
EXC000399,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100104-WH01,Below Safety Stock,Open
EXC000400,2026-06-30,Inventory,Below Reorder Point,High,MAT100104-WH02,Below Reorder Point,Open
EXC000401,2026-06-30,Inventory,Below Reorder Point,High,MAT100105-WH01,Below Reorder Point,Open
EXC000402,2026-06-30,Inventory,Below Reorder Point,High,MAT100109-WH02,Below Reorder Point,Open
EXC000403,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100110-WH03,Below Safety Stock,Open
EXC000404,2026-06-30,Inventory,Below Reorder Point,High,MAT100111-WH01,Below Reorder Point,Open
EXC000405,2026-06-30,Inventory,Below Reorder Point,High,MAT100111-WH02,Below Reorder Point,Open
EXC000406,2026-06-30,Inventory,Below Reorder Point,High,MAT100113-WH01,Below Reorder Point,Open
EXC000407,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100114-WH01,Below Safety Stock,Open
EXC000408,2026-06-30,Inventory,Below Reorder Point,High,MAT100115-WH01,Below Reorder Point,Open
EXC000409,2026-06-30,Inventory,Below Reorder Point,High,MAT100115-WH02,Below Reorder Point,Open
EXC000410,2026-06-30,Inventory,Below Reorder Point,High,MAT100116-WH01,Below Reorder Point,Open
EXC000411,2026-06-30,Inventory,Below Safety Stock,Critical,MAT100116-WH02,Below Safety Stock,Open
EXC000412,2026-06-30,Inventory,Below Reorder Point,High,MAT100117-WH01,Below Reorder Point,Open
EXC000413,2026-06-30,Inventory,Below Reorder Point,High,MAT100119-WH03,Below Reorder Point,Open
EXC000414,2026-06-30,Inventory,Below Reorder Point,High,MAT100120-WH01,Below Reorder Point,Open
EXC000415,2026-05-26,Delivery,OTIF Failure,Medium,DLV800000002,Delivery failed on-time-in-full requirement,Open
EXC000416,2025-12-08,Delivery,OTIF Failure,Medium,DLV800000005,Delivery failed on-time-in-full requirement,Open
EXC000417,2025-11-02,Delivery,OTIF Failure,High,DLV800000006,Delivery failed on-time-in-full requirement,Open
EXC000418,2025-08-29,Delivery,OTIF Failure,High,DLV800000007,Delivery failed on-time-in-full requirement,Open
EXC000419,2025-11-11,Delivery,OTIF Failure,Medium,DLV800000009,Delivery failed on-time-in-full requirement,Open
EXC000420,2025-10-28,Delivery,OTIF Failure,Medium,DLV800000011,Delivery failed on-time-in-full requirement,Open
EXC000421,2025-06-09,Delivery,OTIF Failure,Medium,DLV800000012,Delivery failed on-time-in-full requirement,Open
EXC000422,2026-02-04,Delivery,OTIF Failure,Medium,DLV800000015,Delivery failed on-time-in-full requirement,Open
EXC000423,2026-05-23,Delivery,OTIF Failure,Medium,DLV800000016,Delivery failed on-time-in-full requirement,Open
EXC000424,2026-03-10,Delivery,OTIF Failure,High,DLV800000017,Delivery failed on-time-in-full requirement,Open
EXC000425,2025-05-07,Delivery,OTIF Failure,Medium,DLV800000021,Delivery failed on-time-in-full requirement,Open
EXC000426,2026-02-14,Delivery,OTIF Failure,High,DLV800000028,Delivery failed on-time-in-full requirement,Open
EXC000427,2026-05-01,Delivery,OTIF Failure,Medium,DLV800000032,Delivery failed on-time-in-full requirement,Open
EXC000428,2026-04-29,Delivery,OTIF Failure,Medium,DLV800000037,Delivery failed on-time-in-full requirement,Open
EXC000429,2025-06-12,Delivery,OTIF Failure,Medium,DLV800000045,Delivery failed on-time-in-full requirement,Open
EXC000430,2025-10-31,Delivery,OTIF Failure,Medium,DLV800000047,Delivery failed on-time-in-full requirement,Open
EXC000431,2025-08-15,Delivery,OTIF Failure,Medium,DLV800000050,Delivery failed on-time-in-full requirement,Open
EXC000432,2025-07-16,Delivery,OTIF Failure,Medium,DLV800000052,Delivery failed on-time-in-full requirement,Open
EXC000433,2025-01-04,Delivery,OTIF Failure,Medium,DLV800000055,Delivery failed on-time-in-full requirement,Open
EXC000434,2025-09-23,Delivery,OTIF Failure,Medium,DLV800000059,Delivery failed on-time-in-full requirement,Open
EXC000435,2025-06-13,Delivery,OTIF Failure,Medium,DLV800000061,Delivery failed on-time-in-full requirement,Open
EXC000436,2025-02-12,Delivery,OTIF Failure,Medium,DLV800000062,Delivery failed on-time-in-full requirement,Open
EXC000437,2026-06-11,Delivery,OTIF Failure,Medium,DLV800000064,Delivery failed on-time-in-full requirement,Open
EXC000438,2026-04-11,Delivery,OTIF Failure,Medium,DLV800000067,Delivery failed on-time-in-full requirement,Open
EXC000439,2025-11-28,Delivery,OTIF Failure,Medium,DLV800000068,Delivery failed on-time-in-full requirement,Open
EXC000440,2025-10-30,Delivery,OTIF Failure,Medium,DLV800000074,Delivery failed on-time-in-full requirement,Open
EXC000441,2025-09-19,Delivery,OTIF Failure,Medium,DLV800000077,Delivery failed on-time-in-full requirement,Open
EXC000442,2026-05-04,Delivery,OTIF Failure,Medium,DLV800000079,Delivery failed on-time-in-full requirement,Open
EXC000443,2025-06-20,Delivery,OTIF Failure,Medium,DLV800000081,Delivery failed on-time-in-full requirement,Open
EXC000444,2025-03-17,Delivery,OTIF Failure,Medium,DLV800000088,Delivery failed on-time-in-full requirement,Open
EXC000445,2025-10-13,Delivery,OTIF Failure,Medium,DLV800000092,Delivery failed on-time-in-full requirement,Open
EXC000446,2025-02-21,Delivery,OTIF Failure,Medium,DLV800000093,Delivery failed on-time-in-full requirement,Open
EXC000447,2025-06-26,Delivery,OTIF Failure,Medium,DLV800000096,Delivery failed on-time-in-full requirement,Open
EXC000448,2025-07-19,Delivery,OTIF Failure,Medium,DLV800000101,Delivery failed on-time-in-full requirement,Open
EXC000449,2026-03-17,Delivery,OTIF Failure,High,DLV800000102,Delivery failed on-time-in-full requirement,Open
EXC000450,2025-01-25,Delivery,OTIF Failure,Medium,DLV800000103,Delivery failed on-time-in-full requirement,Open
EXC000451,2025-06-19,Delivery,OTIF Failure,High,DLV800000105,Delivery failed on-time-in-full requirement,Open
EXC000452,2025-09-17,Delivery,OTIF Failure,High,DLV800000108,Delivery failed on-time-in-full requirement,Open
EXC000453,2026-06-05,Delivery,OTIF Failure,Medium,DLV800000109,Delivery failed on-time-in-full requirement,Open
EXC000454,2026-05-21,Delivery,OTIF Failure,Medium,DLV800000111,Delivery failed on-time-in-full requirement,Open
EXC000455,2025-10-03,Delivery,OTIF Failure,Medium,DLV800000114,Delivery failed on-time-in-full requirement,Open
EXC000456,2025-06-29,Delivery,OTIF Failure,High,DLV800000117,Delivery failed on-time-in-full requirement,Open
EXC000457,2026-02-06,Delivery,OTIF Failure,Medium,DLV800000118,Delivery failed on-time-in-full requirement,Open
EXC000458,2025-07-29,Delivery,OTIF Failure,High,DLV800000120,Delivery failed on-time-in-full requirement,Open
EXC000459,2025-04-11,Delivery,OTIF Failure,Medium,DLV800000122,Delivery failed on-time-in-full requirement,Open
EXC000460,2026-06-04,Delivery,OTIF Failure,Medium,DLV800000125,Delivery failed on-time-in-full requirement,Open
EXC000461,2026-03-15,Delivery,OTIF Failure,Medium,DLV800000127,Delivery failed on-time-in-full requirement,Open
EXC000462,2025-04-29,Delivery,OTIF Failure,Medium,DLV800000128,Delivery failed on-time-in-full requirement,Open
EXC000463,2025-10-19,Delivery,OTIF Failure,Medium,DLV800000129,Delivery failed on-time-in-full requirement,Open
EXC000464,2026-01-08,Delivery,OTIF Failure,Medium,DLV800000134,Delivery failed on-time-in-full requirement,Open
EXC000465,2025-11-13,Delivery,OTIF Failure,Medium,DLV800000138,Delivery failed on-time-in-full requirement,Open
EXC000466,2025-09-18,Delivery,OTIF Failure,Medium,DLV800000139,Delivery failed on-time-in-full requirement,Open
EXC000467,2025-11-08,Delivery,OTIF Failure,Medium,DLV800000144,Delivery failed on-time-in-full requirement,Open
EXC000468,2025-07-22,Delivery,OTIF Failure,Medium,DLV800000146,Delivery failed on-time-in-full requirement,Open
EXC000469,2025-04-03,Delivery,OTIF Failure,Medium,DLV800000148,Delivery failed on-time-in-full requirement,Open
EXC000470,2025-05-03,Delivery,OTIF Failure,Medium,DLV800000153,Delivery failed on-time-in-full requirement,Open
EXC000471,2025-06-10,Delivery,OTIF Failure,Medium,DLV800000154,Delivery failed on-time-in-full requirement,Open
EXC000472,2026-04-08,Delivery,OTIF Failure,Medium,DLV800000157,Delivery failed on-time-in-full requirement,Open
EXC000473,2025-07-22,Delivery,OTIF Failure,Medium,DLV800000162,Delivery failed on-time-in-full requirement,Open
EXC000474,2026-02-10,Delivery,OTIF Failure,Medium,DLV800000168,Delivery failed on-time-in-full requirement,Open
EXC000475,2025-10-28,Delivery,OTIF Failure,Medium,DLV800000169,Delivery failed on-time-in-full requirement,Open
EXC000476,2025-04-26,Delivery,OTIF Failure,Medium,DLV800000173,Delivery failed on-time-in-full requirement,Open
EXC000477,2025-02-21,Delivery,OTIF Failure,High,DLV800000180,Delivery failed on-time-in-full requirement,Open
EXC000478,2026-02-10,Delivery,OTIF Failure,Medium,DLV800000183,Delivery failed on-time-in-full requirement,Open
EXC000479,2025-09-27,Delivery,OTIF Failure,Medium,DLV800000186,Delivery failed on-time-in-full requirement,Open
EXC000480,2026-04-29,Delivery,OTIF Failure,Medium,DLV800000187,Delivery failed on-time-in-full requirement,Open
EXC000481,2026-05-06,Delivery,OTIF Failure,Medium,DLV800000191,Delivery failed on-time-in-full requirement,Open
EXC000482,2025-11-05,Delivery,OTIF Failure,Medium,DLV800000193,Delivery failed on-time-in-full requirement,Open
EXC000483,2026-02-26,Delivery,OTIF Failure,Medium,DLV800000194,Delivery failed on-time-in-full requirement,Open
EXC000484,2025-05-19,Delivery,OTIF Failure,Medium,DLV800000198,Delivery failed on-time-in-full requirement,Open
EXC000485,2026-06-15,Delivery,OTIF Failure,Medium,DLV800000199,Delivery failed on-time-in-full requirement,Open
EXC000486,2025-06-18,Delivery,OTIF Failure,Medium,DLV800000201,Delivery failed on-time-in-full requirement,Open
EXC000487,2025-09-17,Delivery,OTIF Failure,Medium,DLV800000203,Delivery failed on-time-in-full requirement,Open
EXC000488,2025-01-13,Delivery,OTIF Failure,Medium,DLV800000208,Delivery failed on-time-in-full requirement,Open
EXC000489,2026-06-16,Delivery,OTIF Failure,High,DLV800000211,Delivery failed on-time-in-full requirement,Open
EXC000490,2025-05-06,Delivery,OTIF Failure,High,DLV800000216,Delivery failed on-time-in-full requirement,Open
EXC000491,2025-05-23,Delivery,OTIF Failure,Medium,DLV800000218,Delivery failed on-time-in-full requirement,Open
EXC000492,2026-04-04,Delivery,OTIF Failure,Medium,DLV800000221,Delivery failed on-time-in-full requirement,Open
EXC000493,2026-04-17,Delivery,OTIF Failure,Medium,DLV800000223,Delivery failed on-time-in-full requirement,Open
EXC000494,2025-03-17,Delivery,OTIF Failure,Medium,DLV800000224,Delivery failed on-time-in-full requirement,Open
EXC000495,2025-03-28,Delivery,OTIF Failure,High,DLV800000226,Delivery failed on-time-in-full requirement,Open
EXC000496,2026-01-17,Delivery,OTIF Failure,Medium,DLV800000234,Delivery failed on-time-in-full requirement,Open
EXC000497,2025-08-21,Delivery,OTIF Failure,Medium,DLV800000235,Delivery failed on-time-in-full requirement,Open
EXC000498,2025-06-06,Delivery,OTIF Failure,Medium,DLV800000240,Delivery failed on-time-in-full requirement,Open
EXC000499,2025-04-21,Delivery,OTIF Failure,High,DLV800000244,Delivery failed on-time-in-full requirement,Open
EXC000500,2025-10-25,Delivery,OTIF Failure,High,DLV800000248,Delivery failed on-time-in-full requirement,Open
EXC000501,2026-01-10,Delivery,OTIF Failure,Medium,DLV800000249,Delivery failed on-time-in-full requirement,Open
EXC000502,2025-04-13,Delivery,OTIF Failure,High,DLV800000251,Delivery failed on-time-in-full requirement,Open
EXC000503,2025-03-03,Delivery,OTIF Failure,Medium,DLV800000253,Delivery failed on-time-in-full requirement,Open
EXC000504,2025-02-03,Delivery,OTIF Failure,Medium,DLV800000257,Delivery failed on-time-in-full requirement,Open
EXC000505,2025-06-06,Delivery,OTIF Failure,Medium,DLV800000258,Delivery failed on-time-in-full requirement,Open
EXC000506,2026-04-14,Delivery,OTIF Failure,Medium,DLV800000259,Delivery failed on-time-in-full requirement,Open
